ETF,Ticker,Technical Action,Score,weight,Dollar Amount,Name
XLY,ORLY,Buy,59.16483238571415,6.716117515121264,335.8058757560632,
XLU,CEG,Buy,45.63717413519858,5.180520457690918,259.02602288454585,
XLI,LMT,Buy,43.69036368288218,4.959527559541841,247.97637797709208,
XLC,NFLX,Buy,37.58061140257507,4.265976802306355,213.29884011531777,
XLI,TDG,Buy,36.47668434789897,4.140664120289586,207.0332060144793,
XLK,NOW,Buy,36.38187254016722,4.129901523373969,206.4950761686985,
XLK,MA,Buy,34.77230084954091,3.9471904061889425,197.3595203094471,
XLP,PM,Buy,34.730772700789316,3.9424763232454993,197.12381616227495,
XLK,TDY,Buy,34.1169010205227,3.872792455690573,193.63962278452863,
XLI,DE,Buy,33.23571277056372,3.7727640502843647,188.63820251421825,
XLY,ULTA,Buy,32.74375594269788,3.716919391640305,185.84596958201524,
XLC,META,Buy,32.113642014130214,3.645391779348834,182.2695889674417,
XLC,TTWO,Buy,31.550463903344824,3.5814624108124677,179.0731205406234,
XLRE,IRM,Buy,30.822517347896593,3.498829292218549,174.94146461092743,
XLY,BKNG,Buy,29.881861087591417,3.3920503539405207,169.60251769702603,
XLB,LIN,Buy,28.493718707762817,3.2344748656864533,161.7237432843227,
XLV,MCK,Buy,27.84802089521029,3.1611782431237803,158.058912156189,
XLE,VLO,Buy,27.3585667767848,3.105617680454132,155.28088402270663,
XLF,AXP,Buy,26.91827961187711,3.055638322435473,152.78191612177366,
XLF,CB,Buy,26.8272721910445,3.0453075818854916,152.26537909427458,
XLB,MLM,Buy,26.813136365017375,3.0437029484412093,152.18514742206045,
XLF,BEN,Buy,25.700459379112655,2.9173970147914856,145.86985073957428,
XLP,MNST,Buy,24.021549270241337,2.726814921784028,136.3407460892014,
XLU,NRG,Buy,23.610839661906603,2.680193070881404,134.0096535440702,
XLRE,WELL,Buy,21.237675005709335,2.4108024198634914,120.54012099317455,
XLB,SHW,Buy,21.10697899829921,2.395966414940819,119.79832074704096,
XLRE,EQIX,Buy,18.57213652254069,2.10822284730036,105.411142365018,
XLU,D,Buy,18.45654490975487,2.0951014232393432,104.75507116196717,
XLP,HRL,Buy,11.073371510336909,1.2569978034785372,62.84989017392686,
